21-05-2018	01	10	11	12	16	17	19	20	21	23	24	25	32	32	41	47	49	58	58	62	64	64	64	69	71	90	95
20-05-2018	02	03	04	05	09	15	24	25	26	29	29	40	40	49	49	53	55	62	63	64	68	69	70	73	77	80	88
19-05-2018	01	10	11	14	19	23	26	32	34	40	45	46	54	55	61	64	66	67	73	78	82	82	84	84	87	88	90
18-05-2018	04	11	12	16	18	22	23	23	26	27	34	37	40	43	46	50	56	61	64	69	78	84	84	86	89	92	99
17-05-2018	00	07	11	11	14	15	18	20	21	23	24	27	30	34	39	41	45	45	46	48	52	63	74	74	80	84	92
16-05-2018	08	11	11	12	13	14	27	31	36	38	39	42	44	48	53	54	57	67	70	71	77	82	83	88	88	91	95
15-05-2018	02	05	14	16	18	29	36	39	46	51	54	60	62	65	66	66	67	67	70	73	77	77	88	88	95	98	99
14-05-2018	01	13	16	22	31	32	39	40	45	55	56	56	58	61	68	74	75	75	76	84	85	85	86	88	93	95	99
13-05-2018	09	14	17	22	26	36	36	45	49	52	53	59	62	62	69	70	70	79	79	81	81	82	87	89	89	92	94
12-05-2018	04	08	10	11	23	27	28	29	30	31	40	45	46	48	51	62	69	71	75	79	79	81	87	92	93	95	98
11-05-2018	04	04	04	07	07	11	30	30	52	53	54	57	57	62	66	72	72	72	82	84	84	92	92	92	92	92	96
10-05-2018	06	06	10	11	18	18	21	22	24	28	30	31	33	38	43	44	56	66	68	84	87	87	89	91	95	99	99
09-05-2018	00	01	01	02	06	07	11	12	12	14	19	38	41	49	52	60	64	67	69	69	74	81	87	89	96	98	98
08-05-2018	00	03	04	05	06	12	23	24	28	28	32	38	40	42	44	46	58	61	76	82	83	86	90	90	94	96	98
07-05-2018	00	06	14	14	16	22	25	26	26	47	53	53	55	57	60	61	61	62	63	64	64	68	77	82	88	91	96
06-05-2018	09	11	12	20	20	22	25	32	38	42	45	52	60	64	67	67	68	69	74	77	79	81	82	85	87	90	94
05-05-2018	01	03	14	19	23	26	29	30	30	32	36	39	44	49	56	57	59	75	77	77	79	82	82	88	89	91	94
04-05-2018	01	02	03	04	07	09	10	11	18	22	26	31	31	33	39	50	51	53	64	65	66	67	73	80	87	88	92
03-05-2018	00	02	02	04	16	16	22	25	30	31	37	41	42	46	48	60	60	64	66	67	74	78	79	84	88	89	89
02-05-2018	10	11	15	16	23	31	33	34	34	38	39	39	52	55	55	69	71	71	74	76	78	79	79	81	81	88	97
01-05-2018	00	05	14	17	17	23	24	31	39	39	39	40	42	43	49	52	53	53	56	62	66	66	78	78	84	89	93
30-04-2018	01	04	05	10	14	15	15	22	27	36	46	46	49	55	57	67	68	69	70	71	71	73	74	76	77	78	93
29-04-2018	04	07	07	10	12	18	25	25	28	33	44	47	48	48	49	54	57	66	70	81	88	90	90	94	96	97	98
28-04-2018	00	10	13	27	29	31	33	34	36	36	47	49	51	54	60	61	63	66	71	75	77	80	86	86	87	93	98
27-04-2018	02	04	05	10	16	21	22	23	30	32	32	33	36	37	44	57	57	62	65	76	83	84	89	91	98	98	99
26-04-2018	11	12	12	13	22	23	23	25	25	29	29	32	33	46	51	54	55	57	63	66	67	68	76	86	94	96	99
25-04-2018	08	15	15	17	19	22	27	29	32	32	37	37	40	42	44	50	54	59	62	62	75	79	79	87	91	94	97
24-04-2018	11	16	18	20	24	24	27	31	31	31	44	45	46	54	56	59	60	61	61	63	70	72	79	85	92	94	97
23-04-2018	16	18	20	25	27	28	29	32	40	45	46	48	63	63	67	69	71	73	73	74	77	77	80	81	85	91	99
22-04-2018	00	08	11	15	19	21	22	25	26	31	37	49	49	51	52	53	53	54	65	68	68	68	72	77	81	92	98
21-04-2018	13	16	27	27	30	31	33	34	37	38	43	45	52	53	56	64	66	67	75	78	80	82	84	85	86	96	97
20-04-2018	02	06	08	10	10	12	13	18	21	22	23	28	30	37	38	38	40	41	43	44	44	56	61	68	77	94	97
19-04-2018	12	13	13	23	31	33	34	35	40	41	44	45	54	58	62	63	65	70	76	79	80	83	85	87	90	92	96
18-04-2018	03	09	14	17	18	21	21	22	23	32	34	34	35	35	36	38	39	43	55	60	72	82	86	86	94	95	96
17-04-2018	01	02	04	07	08	14	16	18	22	24	25	29	30	31	35	38	39	40	49	55	64	65	67	72	81	83	86
16-04-2018	01	02	18	20	21	22	31	38	39	40	41	44	46	53	55	57	57	58	65	66	76	77	79	85	87	91	92
15-04-2018	02	10	13	29	31	32	47	48	51	52	52	56	57	58	65	74	77	83	84	84	85	88	88	89	91	96	97
14-04-2018	02	05	07	17	22	27	28	29	32	33	46	47	48	55	56	61	63	67	68	69	70	72	79	88	89	95	98
13-04-2018	00	01	01	07	12	15	15	16	24	25	29	31	31	38	41	47	53	61	62	66	66	69	78	85	87	91	98
12-04-2018	08	10	10	15	15	16	18	31	32	36	37	42	43	44	46	50	51	53	56	61	67	72	73	76	76	86	99
11-04-2018	00	11	16	18	22	25	31	41	41	46	49	49	51	59	60	63	65	73	81	83	83	84	90	90	94	97	97
10-04-2018	07	08	19	21	22	23	23	26	26	29	39	43	51	52	52	60	62	67	72	73	78	82	85	88	88	90	96
09-04-2018	01	02	10	12	14	15	21	23	28	29	29	36	39	40	41	42	43	50	54	57	68	81	82	85	86	87	89
08-04-2018	01	15	16	16	28	35	38	42	43	44	45	46	51	59	62	63	63	64	68	84	86	88	89	90	95	97	98
07-04-2018	03	08	13	18	21	22	23	28	28	33	38	39	40	43	45	47	52	52	57	61	63	76	76	95	96	97	98
06-04-2018	01	01	09	10	15	26	28	29	30	40	44	54	61	66	67	68	69	71	74	80	81	85	85	91	96	97	97
05-04-2018	00	00	07	10	10	13	18	28	33	35	41	46	46	50	55	58	64	64	65	67	67	77	82	82	84	94	97
04-04-2018	07	08	09	10	13	17	26	27	36	38	40	43	51	52	55	63	67	68	74	82	82	86	87	92	93	94	96
03-04-2018	03	03	07	08	08	18	21	22	24	35	46	48	53	54	54	60	62	63	73	74	76	76	82	88	89	93	96
02-04-2018	04	10	10	12	13	19	37	40	41	42	43	45	45	49	55	56	61	68	74	74	76	79	82	83	85	95	99
01-04-2018	05	11	15	17	18	20	22	26	29	31	44	55	56	70	71	75	76	76	79	80	88	90	91	95	96	96	97
31-03-2018	02	04	06	08	12	12	14	18	23	39	41	46	57	61	61	64	70	74	80	83	86	87	88	93	95	95	98
30-03-2018	00	01	03	06	07	10	11	11	16	20	24	28	30	32	32	36	40	40	46	47	47	59	76	83	85	90	94
29-03-2018	00	00	03	08	13	35	35	38	42	44	44	44	47	50	58	62	65	67	68	69	76	80	83	88	90	93	98
28-03-2018	09	20	21	26	27	29	32	32	42	50	50	51	54	55	62	64	67	69	71	71	71	81	85	88	88	92	94
27-03-2018	03	07	12	18	22	22	24	29	31	44	45	50	50	56	58	59	61	67	67	68	70	75	78	80	82	89	98
26-03-2018	03	04	09	11	11	23	26	27	28	36	37	46	49	50	55	55	62	64	69	69	70	79	79	81	85	96	97
25-03-2018	02	09	15	18	21	22	24	27	27	29	31	34	43	55	56	57	59	71	72	77	77	78	81	87	93	94	98
24-03-2018	09	11	13	13	15	15	17	19	28	37	44	45	49	49	51	63	65	67	67	67	82	85	86	89	89	97	97
23-03-2018	04	05	06	13	17	17	26	27	32	34	34	42	43	46	48	52	59	60	67	76	77	87	91	92	93	96	99
22-03-2018	00	00	06	16	20	23	25	30	34	34	39	41	47	71	71	73	74	78	78	80	81	82	85	88	94	95	98
21-03-2018	03	03	05	24	30	35	39	40	40	45	46	48	48	50	63	65	66	68	72	79	81	85	85	87	90	96	99
20-03-2018	06	12	13	25	27	27	32	33	33	33	36	37	38	40	43	44	46	46	48	57	57	65	67	77	83	88	98
19-03-2018	10	13	15	18	18	19	24	25	27	33	37	40	42	43	47	62	78	79	81	83	84	85	86	92	93	94	96
